,step,date,balance,shares_held,total_shares_sold,cost_basis,total_sales_value,net_worth,max_net_worth,cur_reward,cur_action,profit
0,1,1998-01-05,1000.0,0,0,0.0,0.0,1000.0,1000.0,0.008333333333333338,[2.207  0.6763],0.0
1,2,1998-01-06,232.54878351285038,73,0,10.513030362837666,0.0,1000.0,1000.0,0.0038758130585475094,[0.982  0.7705],0.0
2,3,1998-01-07,232.54878351285038,73,0,10.513030362837666,0.0,999.6944669371964,1000.0,-0.29971934321582594,[2.3   0.574],-0.3055330628036472
3,4,1998-01-08,888.3207363842748,10,63,10.513030362837666,655.7719528714244,992.4115225543421,1000.0,-7.558866754445064,[1.02  0.865],-7.5884774456578725
4,5,1998-01-09,888.3207363842748,10,63,10.513030362837666,655.7719528714244,991.7204765995458,1000.0,-8.242510036438185,[2.264  0.3408],-8.279523400454195
5,6,1998-01-12,477.8867953164584,50,63,10.311284893923862,655.7719528714244,990.929221651229,1000.0,-9.046884009005177,[0.972  0.4688],-9.070778348771
6,7,1998-01-13,332.68070233926676,64,63,10.324536526146636,655.7719528714244,996.4799845207142,1000.0,-3.5006091049826793,[0.7866 0.3215],-3.520015479285803
7,8,1998-01-14,40.44657237481681,92,63,10.358744213454724,655.7719528714244,1000.6444279722953,1000.6444279722953,0.6471244104535826,[0.11584 0.92   ],0.6444279722952615
8,9,1998-01-15,29.85601320125274,93,63,10.361236847434395,655.7719528714244,1014.7780163427112,1014.7780163427112,14.780255543701319,[0.5513 0.5444],14.778016342711226
9,10,1998-01-16,484.19635659685787,50,106,10.361236847434395,1110.1122962670297,1012.4990814754685,1014.7780163427112,12.5394311718516,[1.613  0.4675],12.499081475468529
10,11,1998-01-20,899.0095189861072,11,145,10.361236847434395,1524.925458656279,1016.0081032497416,1016.0081032497416,16.090512455648625,[1.991  0.7915],16.008103249741566
11,12,1998-01-21,899.0095189861072,11,145,10.361236847434395,1524.925458656279,1017.7410897010454,1017.7410897010454,17.830990652944052,[2.959   0.03842],17.74108970104544
12,13,1998-01-22,789.0935137789731,21,145,10.661410025186305,1524.925458656279,1019.9171247139546,1019.9171247139546,20.00260984461404,[0.3271 0.1266],19.91712471395465
13,14,1998-01-23,789.0935137789731,21,145,10.661410025186305,1524.925458656279,1018.6921483348965,1019.9171247139546,18.78420924483738,"[0, 0]",18.6921483348965
14,15,1998-01-26,789.0935137789731,21,145,10.661410025186305,1524.925458656279,1022.0210655505647,1022.0210655505647,22.11970223978706,[2.586 0.533],22.021065550564686
15,16,1998-01-27,789.0935137789731,21,145,10.661410025186305,1524.925458656279,1025.7701057706693,1025.7701057706693,25.875318239173126,"[0, 0]",25.77010577066926
16,17,1998-01-28,789.0935137789731,21,145,10.661410025186305,1524.925458656279,1032.2270705264143,1032.2270705264143,32.338858774199664,[2.65  0.871],32.22707052641431
17,18,1998-01-29,789.0935137789731,21,145,10.661410025186305,1524.925458656279,1037.4796848397796,1037.4796848397796,37.59804886684641,[2.377  0.4553],37.479684839779566
18,19,1998-01-30,454.67427900245343,49,145,11.394058067457799,1524.925458656279,1039.907939861363,1039.907939861363,39.97992995553844,[0.4805 0.4353],39.90793986136305
19,20,1998-02-02,454.67427900245343,49,145,11.394058067457799,1524.925458656279,1040.6108503427818,1040.6108503427818,40.68662938928217,"[0, 0]",40.61085034278176
20,21,1998-02-03,1000.0,0,0,0.0,0.0,1000.0,1000.0,0.008333333333333338,[2.377 0.577],0.0
21,22,1998-02-04,1000.0,0,0,0.0,0.0,1000.0,1000.0,0.016666666666666677,"[0, 0]",0.0
22,23,1998-02-05,698.5596463739282,24,0,12.560014734419658,0.0,1000.0,1000.0,0.0174639911593482,[0.7295 0.3147],0.0
23,24,1998-02-06,133.1824295386591,69,0,12.56257348494697,0.0,1000.0941620194052,1000.0941620194052,0.09860143372314462,[0.6426 0.8276],0.09416201940518931
24,25,1998-02-09,133.1824295386591,69,0,12.56257348494697,0.0,1002.1086423489207,1002.1086423489207,2.114191616818183,[2.74   0.2913],2.108642348920739
25,26,1998-02-10,69.82370063669657,74,0,12.569949991395992,0.0,1007.5328883857421,1007.5328883857421,7.536379570773961,[0.867 0.519],7.532888385742126
26,27,1998-02-11,69.82370063669657,74,0,12.569949991395992,0.0,1004.5299427957922,1007.5328883857421,4.534015844995988,"[0, 0]",4.529942795792181
27,28,1998-02-12,69.82370063669657,74,0,12.569949991395992,0.0,1014.0395850325403,1014.0395850325403,14.044239945916125,[2.863  0.5986],14.039585032540344
28,29,1998-02-13,69.82370063669657,74,0,12.569949991395992,0.0,1008.9742778777847,1014.0395850325403,8.979514655332496,[2.154 0.918],8.974277877784743
29,30,1998-02-17,31.839170348475022,77,0,12.573517268201623,0.0,1006.7754477461614,1014.0395850325403,6.778101010357082,[0.2467 0.646 ],6.775447746161376
30,31,1998-02-18,474.7866574913135,42,35,12.573517268201623,442.9474871428385,1006.3236420627197,1014.0395850325403,6.367164172989765,[1.29   0.4648],6.323642062719728
31,32,1998-02-19,760.0101404913135,19,58,12.573517268201623,728.1709701428385,995.6295394913134,1014.0395850325403,-4.294459494637488,[1.543  0.5596],-4.3704605086866195
32,33,1998-02-20,61.654844043679304,75,58,12.496694993912866,728.1709701428385,996.9521160717608,1014.0395850325403,-3.0412046534678314,[0.243 0.939],-3.04788392823923
33,34,1998-02-23,74.11760193978573,74,59,12.496694993912866,740.6337280389449,996.3616862516614,1014.0395850325403,-3.6296666947790044,[1.442   0.02393],-3.6383137483386463
34,35,1998-02-24,74.11760193978573,74,59,12.496694993912866,740.6337280389449,1035.350370512698,1035.350370512698,35.35963521294044,[2.473  0.4036],35.350370512697964
35,36,1998-02-25,34.19775900687406,77,59,12.528250291980049,740.6337280389449,1058.8070609516071,1058.8070609516071,58.811620652808045,[0.4238 0.7354],58.80706095160713
36,37,1998-02-26,383.15919250853915,51,85,12.528250291980049,1089.59516154061,1067.6604659156515,1067.6604659156515,67.71474680125684,[1.268  0.3442],67.66046591565146
37,38,1998-02-27,1000.3030975085392,6,130,12.528250291980049,1706.73906654061,1082.5889515085391,1082.5889515085391,82.73899697316543,[1.407 0.891],82.58895150853914
38,39,1998-03-02,780.7653112708875,22,130,13.395785817705997,1706.73906654061,1082.6297673476586,1082.6297673476586,82.75338852194314,[0.4075 0.2242],82.62976734765857
39,40,1998-03-03,606.8907306652386,35,130,13.388053388433741,1706.73906654061,1075.0146015266012,1082.6297673476586,75.11574998171203,[0.963  0.2385],75.01460152660115
